"date","cases"
"2007-08-14",0
"2007-08-15",1
"2007-08-16",0
"2007-08-17",10
"2007-08-18",6
"2007-08-19",32
"2007-08-20",47
"2007-08-21",37
"2007-08-22",29
"2007-08-23",11
"2007-08-24",13
"2007-08-25",8
"2007-08-26",2
"2007-08-27",2
"2007-08-28",2
"2007-08-29",0
"2007-08-30",2
"2007-08-31",1
"2007-09-01",2
"2007-09-02",2
"2007-09-03",5
"2007-09-04",2
"2007-09-05",3
"2007-09-06",2
"2007-09-07",3
"2007-09-08",2
"2007-09-09",3
"2007-09-10",5
"2007-09-11",7
"2007-09-12",8
"2007-09-13",5
"2007-09-14",7
"2007-09-15",4
"2007-09-16",12
"2007-09-17",7
"2007-09-18",5
"2007-09-19",3
"2007-09-20",4
"2007-09-21",1
"2007-09-22",0
"2007-09-23",5
"2007-09-24",2
"2007-09-25",2
"2007-09-26",0
"2007-09-27",6
"2007-09-28",1
"2007-09-29",1
"2007-09-30",2
"2007-10-01",0
"2007-10-02",0
"2007-10-03",0
"2007-10-04",0
"2007-10-05",2